['23/02/2023 - (12:01:12)', 'A016138', 404314177, 'Q1: 0', 'Q2: 0']
['23/02/2023 - (12:01:56)', 'A016151', 404314177, 'Q1: 100', 'Q2: 34']
['02/03/2023 - (09:54:06)', 'A016138', 404314177, 'Q1: 100', 'Q2: 100']
['02/03/2023 - (09:54:50)', 'A016154', 404314177, 'Q1: 1', 'Q2: 0']
['02/03/2023 - (09:55:10)', 'A016148', 404314177, 'Q1: 2', 'Q2: 1']
['02/03/2023 - (09:55:20)', 'A016141', 404314177, 'Q1: 2', 'Q2: 1']
['02/03/2023 - (09:55:35)', 'A016150', 404314177, 'Q1: 3', 'Q2: 1']
['02/03/2023 - (10:05:55)', 'A016135', 404314177, 'Q1: 5', 'Q2: 1']
['02/03/2023 - (10:10:47)', 'A016148', 404314177, 'Q1: 4', 'Q2: 1']
['02/03/2023 - (10:11:41)', 'A016135', 404314177, 'Q1: 6', 'Q2: 6']
['02/03/2023 - (10:12:06)', 'A016147', 404314177, 'Q1: 2', 'Q2: 1']
['02/03/2023 - (10:12:13)', 'A016144', 404314177, 'Q1: 5', 'Q2: 1']
['02/03/2023 - (10:23:39)', 'A016138', 404314177, 'Q1: 3', 'Q2: 1']
['02/03/2023 - (11:12:37)', 'A016148', 404314177, 'Q1: 0', 'Q2: 0']
['02/03/2023 - (12:11:45)', 'A016149', 404314177, 'Q1: 0', 'Q2: 0']
['02/03/2023 - (12:11:53)', 'A016140', 404314177, 'Q1: 2', 'Q2: 1']
['02/03/2023 - (12:23:16)', 'A016139', 404314177, 'Q1: 1', 'Q2: 0']
['02/03/2023 - (12:37:30)', 'A016143', 404314177, 'Q1: 3', 'Q2: 2']
['02/03/2023 - (12:49:44)', 'A016141', 404314177, 'Q1: 3', 'Q2: 1']
['02/03/2023 - (12:51:04)', 'A016150', 404314177, 'Q1: 3', 'Q2: 2']
['02/03/2023 - (12:55:06)', 'A016141', 404314177, 'Q1: 3', 'Q2: 3']
['02/03/2023 - (12:57:34)', 'A016152', 404314177, 'Q1: 3', 'Q2: 3']
['02/03/2023 - (12:59:08)', 'A016153', 404314177, 'Q1: 3', 'Q2: 1']
['02/03/2023 - (13:00:21)', 'A016148', 404314177, 'Q1: 3', 'Q1: 3']
['Q2: 3', 'Q1: 3', 'Q2: 3', 'Q1: 3', 'Q2: 3']
['02/03/2023 - (13:01:47)', 'A016141', 404314177, 'Q1: 3', 'Q2: 3']
['02/03/2023 - (13:01:56)', 'A016142', 404314177, 'Q1: 4', 'Q2: 4']
['02/03/2023 - (13:02:01)', 'A016152', 404314177, 'Q1: 4', 'Q2: 4']
['02/03/2023 - (13:02:07)', 'A016139', 404314177, 'Q1: 4', 'Q2: 4']
['02/03/2023 - (13:03:09)', 'A016135', 404314177, 'Q1: 3', 'Q2: 3']
['02/03/2023 - (13:03:34)', 'A016154', 404314177, 'Q1: 5', 'Q2: 5']
['10/03/2023 - (21:27:39)', 'A016145', 404314177, 'Q1: 4', 'Q2: 3']
['10/03/2023 - (21:54:56)', 'A016151', 404314177, 'Q1: 4', 'Q2: 3']
['10/03/2023 - (23:09:17)', 'A016141', 404314177, 'Q1: 3', 'Q2: 1']
['11/03/2023 - (04:12:36)', 'A016147', 404314177, 'Q1: 1', 'Q2: 1']
['11/03/2023 - (04:25:33)', 'A016147', 404314177, 'Q1: 1', 'Q2: 1']
['11/03/2023 - (04:41:19)', 'A016140', 404314177, 'Q1: 1', 'Q2: 1']
['11/03/2023 - (04:52:22)', 'A016140', 404314177, 'Q1: 1', 'Q2: 1']
['14/03/2023 - (19:43:37)', 'A016145', 404314177, 'Q1: 1', 'Q2: 1']
['15/03/2023 - (11:40:18)', 'A016140', 404314177, 'Q1: 1', 'Q2: 1']
['15/03/2023 - (13:03:06)', 'A016147', 404314177, 'Q1: 80', 'Q2: 45']
['16/03/2023 - (11:08:15)', 'A016141', 404314177, 'Q1: 20', 'Q1: 3']
['Q2: 1', 'Q1: 20', 'Q2: 1', 'Q1: 23', 'Q1: 4']
['20/03/2023 - (13:11:12)', 'A016139', 404314177, 'Q1: 3', 'Q2: 1']
